id,year,department,department_name,agency,agency_name,prexc_fpap_id,item_description,operunit,operating_unit,region_id,fund_code,fund_subcategory,expense_code,expense_class,sub_object_code,expense_object,amount_in_thousands,amount_php,prexc_level,sorder,operating_division_id,operating_division,sector
128553,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904177,Eugenio Cabezas National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020301001,ICT Office Supplies,25.0,25000.0,,,,,Basic Education (DepEd)
128564,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904177,Eugenio Cabezas National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5021305003,Information and Communication Technology Equipment,18.0,18000.0,,,,,Basic Education (DepEd)
128565,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904177,Eugenio Cabezas National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5021307000,Repairs and Maintenance -  Furniture and Fixtures,18.0,18000.0,,,,,Basic Education (DepEd)
128555,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904177,Eugenio Cabezas National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020322001,Furniture and Fixtures,15.0,15000.0,,,,,Basic Education (DepEd)
128561,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904177,Eugenio Cabezas National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020601001,Awards/Rewards Expenses,10.0,10000.0,,,,,Basic Education (DepEd)
128566,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904177,Eugenio Cabezas National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5021502000,Fidelity Bond Premiums,2.0,2000.0,,,,,Basic Education (DepEd)
127221,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010101001,Basic Salary - Civilian,11510.0,11510000.0,,,,,Basic Education (DepEd)
127244,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904131,Francisco Osorio National High School,04,104102,Retirement and Life Insurance Premiums,1,Personnel Services,5010301000,Retirement and Life Insurance Premiums,1381.0,1381000.0,,,,,Basic Education (DepEd)
127223,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010201001,PERA - Civilian,984.0,984000.0,,,,,Basic Education (DepEd)
127229,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010299036,Mid-Year Bonus - Civilian,959.0,959000.0,,,,,Basic Education (DepEd)
127226,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010214001,Bonus - Civilian,959.0,959000.0,,,,,Basic Education (DepEd)
127242,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5021304002,School Buildings,476.0,476000.0,,,,,Basic Education (DepEd)
127240,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020402000,Electricity Expenses,360.0,360000.0,,,,,Basic Education (DepEd)
127236,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020301002,Office Supplies Expenses,300.0,300000.0,,,,,Basic Education (DepEd)
127222,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010102000,Salaries and Wages - Casual/Contractual,249.0,249000.0,,,,,Basic Education (DepEd)
127224,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010204001,Clothing/Uniform Allowance - Civilian,246.0,246000.0,,,,,Basic Education (DepEd)
127227,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010215001,Cash Gift - Civilian ,205.0,205000.0,,,,,Basic Education (DepEd)
127228,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010299012,Productivity Enhancement Incentive - Civilian ,205.0,205000.0,,,,,Basic Education (DepEd)
127231,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010303001,PhilHealth - Civilian,156.0,156000.0,,,,,Basic Education (DepEd)
127238,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020399000,Other Supplies and Materials Expenses,154.0,154000.0,,,,,Basic Education (DepEd)
127234,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020101000,Traveling Expenses - Local,120.0,120000.0,,,,,Basic Education (DepEd)
127239,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020401000,Water Expenses,100.0,100000.0,,,,,Basic Education (DepEd)
127235,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020201002,Training Expenses,100.0,100000.0,,,,,Basic Education (DepEd)
127230,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010302001,Pag-IBIG - Civilian,49.0,49000.0,,,,,Basic Education (DepEd)
127232,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010304001,ECIP - Civilian,49.0,49000.0,,,,,Basic Education (DepEd)
127241,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020502001,Mobile,30.0,30000.0,,,,,Basic Education (DepEd)
127233,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010499010,Lump-sum for Step Increments - Length of Service,29.0,29000.0,,,,,Basic Education (DepEd)
127225,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010210001,Honoraria - Civilian,18.0,18000.0,,,,,Basic Education (DepEd)
127243,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5021502000,Fidelity Bond Premiums,7.0,7000.0,,,,,Basic Education (DepEd)
127237,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020302000,Accountable Forms Expenses,2.0,2000.0,,,,,Basic Education (DepEd)
301119,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100004000,Operation of Schools - Senior High School (Grade 11 to Grade 12),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020301002,Office Supplies Expenses,132.0,132000.0,,,,,Basic Education (DepEd)
301118,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100004000,Operation of Schools - Senior High School (Grade 11 to Grade 12),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020101000,Traveling Expenses - Local,66.0,66000.0,,,,,Basic Education (DepEd)
301122,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100004000,Operation of Schools - Senior High School (Grade 11 to Grade 12),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020402000,Electricity Expenses,40.0,40000.0,,,,,Basic Education (DepEd)
301121,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100004000,Operation of Schools - Senior High School (Grade 11 to Grade 12),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020401000,Water Expenses,26.0,26000.0,,,,,Basic Education (DepEd)
301120,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100004000,Operation of Schools - Senior High School (Grade 11 to Grade 12),0904131,Francisco Osorio National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020399000,Other Supplies and Materials Expenses,13.0,13000.0,,,,,Basic Education (DepEd)
127719,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010101001,Basic Salary - Civilian,24749.0,24749000.0,,,,,Basic Education (DepEd)
127752,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,104102,Retirement and Life Insurance Premiums,1,Personnel Services,5010301000,Retirement and Life Insurance Premiums,2970.0,2970000.0,,,,,Basic Education (DepEd)
127721,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010201001,PERA - Civilian,2208.0,2208000.0,,,,,Basic Education (DepEd)
127724,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010214001,Bonus - Civilian,2062.0,2062000.0,,,,,Basic Education (DepEd)
127727,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010299036,Mid-Year Bonus - Civilian,2062.0,2062000.0,,,,,Basic Education (DepEd)
127720,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010102000,Salaries and Wages - Casual/Contractual,568.0,568000.0,,,,,Basic Education (DepEd)
127722,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010204001,Clothing/Uniform Allowance - Civilian,552.0,552000.0,,,,,Basic Education (DepEd)
127725,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010215001,Cash Gift - Civilian ,460.0,460000.0,,,,,Basic Education (DepEd)
127726,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010299012,Productivity Enhancement Incentive - Civilian ,460.0,460000.0,,,,,Basic Education (DepEd)
127734,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020301002,Office Supplies Expenses,450.0,450000.0,,,,,Basic Education (DepEd)
127740,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020399000,Other Supplies and Materials Expenses,361.0,361000.0,,,,,Basic Education (DepEd)
127729,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010303001,PhilHealth - Civilian,338.0,338000.0,,,,,Basic Education (DepEd)
127747,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5021304002,School Buildings,300.0,300000.0,,,,,Basic Education (DepEd)
127742,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020402000,Electricity Expenses,300.0,300000.0,,,,,Basic Education (DepEd)
127746,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5021202000,Janitorial Services,250.0,250000.0,,,,,Basic Education (DepEd)
127733,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020201002,Training Expenses,200.0,200000.0,,,,,Basic Education (DepEd)
127738,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020321099,Other Machinery and Equipment,200.0,200000.0,,,,,Basic Education (DepEd)
127728,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010302001,Pag-IBIG - Civilian,110.0,110000.0,,,,,Basic Education (DepEd)
127730,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010304001,ECIP - Civilian,110.0,110000.0,,,,,Basic Education (DepEd)
127745,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020503000,Internet Subscription Expenses,90.0,90000.0,,,,,Basic Education (DepEd)
127737,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020321003,Information and Communications Technology Equipment,90.0,90000.0,,,,,Basic Education (DepEd)
127739,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020322001,Furniture and Fixtures,80.0,80000.0,,,,,Basic Education (DepEd)
127741,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020401000,Water Expenses,80.0,80000.0,,,,,Basic Education (DepEd)
127732,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020101000,Traveling Expenses - Local,80.0,80000.0,,,,,Basic Education (DepEd)
127744,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020502002,Landline,67.0,67000.0,,,,,Basic Education (DepEd)
127731,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010499010,Lump-sum for Step Increments - Length of Service,62.0,62000.0,,,,,Basic Education (DepEd)
127748,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5021321002,Office Equipment,50.0,50000.0,,,,,Basic Education (DepEd)
127749,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5021321003,Information and Communications Technology Equipment,50.0,50000.0,,,,,Basic Education (DepEd)
127750,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5021322001,Furniture and Fixtures,50.0,50000.0,,,,,Basic Education (DepEd)
127736,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020321002,Office Equipment,50.0,50000.0,,,,,Basic Education (DepEd)
127723,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010210001,Honoraria - Civilian,38.0,38000.0,,,,,Basic Education (DepEd)
127743,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020502001,Mobile,25.0,25000.0,,,,,Basic Education (DepEd)
127751,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5021502000,Fidelity Bond Premiums,7.0,7000.0,,,,,Basic Education (DepEd)
127735,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904148,Luis Aguado National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020302000,Accountable Forms Expenses,3.0,3000.0,,,,,Basic Education (DepEd)
128522,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904176,Trece Martirez City National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010101001,Basic Salary - Civilian,91320.0,91320000.0,,,,,Basic Education (DepEd)
128550,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904176,Trece Martirez City National High School,04,104102,Retirement and Life Insurance Premiums,1,Personnel Services,5010301000,Retirement and Life Insurance Premiums,10958.0,10958000.0,,,,,Basic Education (DepEd)
128524,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904176,Trece Martirez City National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010201001,PERA - Civilian,8136.0,8136000.0,,,,,Basic Education (DepEd)
128530,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904176,Trece Martirez City National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010299036,Mid-Year Bonus - Civilian,7610.0,7610000.0,,,,,Basic Education (DepEd)
128527,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904176,Trece Martirez City National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010214001,Bonus - Civilian,7610.0,7610000.0,,,,,Basic Education (DepEd)
128537,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904176,Trece Martirez City National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020301002,Office Supplies Expenses,4834.0,4834000.0,,,,,Basic Education (DepEd)
128523,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904176,Trece Martirez City National High School,04,101101,Specific Budgets of National Government Agencies,1,Personnel Services,5010102000,Salaries and Wages - Casual/Contractual,2349.0,2349000.0,,,,,Basic Education (DepEd)
128542,2020,07,Department of Education (DepEd),001,Office of the Secretary,310400100003000,Operation of Schools - Junior High School (Grade 7 to Grade 10),0904176,Trece Martirez City National High School,04,101101,Specific Budgets of National Government Agencies,2,Maintenance and Other Operating Expenses,5020402000,Electricity Expenses,2077.0,2077000.0,,,,,Basic Education (DepEd)
